Place of Residence,Age Group,Gender,Tipo de dificuldade,Não tem nenhuma dificuldade,Tem alguma dificuldade,Tem muita dificuldade,Não consegue efetuar a ação,freguesia_code,municipio,region
Cascais,15 - 19 anos,H,Andar ou subir degraus,5936,31,12,10,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,H,Memória ou concentração,5598,339,41,17,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,H,Compreender os outros ou fazer-se compreender,5831,117,23,12,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,M,Ver,4930,664,45,1,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,M,Ouvir,5558,64,5,1,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,M,Andar ou subir degraus,5584,51,4,1,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,M,Memória ou concentração,5260,328,34,3,1105,Cascais,Grande Lisboa
Cascais,15 - 19 anos,M,Compreender os outros ou fazer-se compreender,5533,94,6,6,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,H,Ver,5118,443,33,5,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,H,Ouvir,5501,69,5,7,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,H,Andar ou subir degraus,5533,44,12,12,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,H,Memória ou concentração,5277,272,33,14,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,H,Compreender os outros ou fazer-se compreender,5463,97,28,9,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,M,Ver,4667,639,49,7,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,M,Ouvir,5256,80,4,5,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,M,Andar ou subir degraus,5275,78,7,9,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,M,Memória ou concentração,4954,370,27,7,1105,Cascais,Grande Lisboa
Cascais,20 - 24 anos,M,Compreender os outros ou fazer-se compreender,5261,85,11,4,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,H,Ver,4516,405,36,7,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,H,Ouvir,4852,72,11,9,1105,Cascais,Grande Lisboa
Cascais,25 - 29 anos,H,Andar ou subir degraus,4879,54,11,16,1105,Cascais,Grande Lisboa
