
Quadro extraído em 26 de Fevereiro de 2025 (23:50:58)
http://www.ine.pt



Local de residência à data dos Censos [2021] (NUTS - 2024);Grupo etário;Sexo;Período de referência dos dados;População residente (N.º) por Local de residência à data dos Censos [2021] (NUTS - 2024), Sexo, Grupo etário e Nível de escolaridade mais elevado completo -  Decenal;;;;;;;;;;;;;;
;;;;Nível de escolaridade mais elevado completo;;;;;;;;;;;;;;
;;;;Total;Nenhum;Ensino básico;1.º ciclo;2.º ciclo;3.º ciclo;Ensino secundário;Ensino pós-secundário;Ensino superior;Curso técnico superior profissional;Bacharelato;Licenciatura;Mestrado;Doutoramento;
;;;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
;;M;2021;911;34;177;11;26;140;307;36;357;1;0;219;135;2;
;30 - 34 anos;H;2021;857;36;239;23;51;165;297;32;253;6;2;130;109;6;
;;M;2021;918;35;216;20;51;145;294;22;351;4;6;203;131;7;
;35 - 39 anos;H;2021;869;39;317;28;90;199;269;25;219;3;27;124;61;4;
;;M;2021;899;34;244;28;48;168;264;25;332;4;13;223;83;9;
;40 - 44 anos;H;2021;874;33;354;45;90;219;272;26;189;2;14;131;36;6;
;;M;2021;1006;35;316;52;92;172;329;20;306;1;19;232;48;6;
;45 - 49 anos;H;2021;887;30;441;89;141;211;271;15;130;0;11;86;28;5;
;;M;2021;1009;47;365;66;112;187;332;12;253;0;22;191;34;6;
;50 - 54 anos;H;2021;839;43;468;121;151;196;217;12;99;0;13;64;16;6;
;;M;2021;913;38;420;121;127;172;259;10;186;0;20;129;32;5;
;55 - 59 anos;H;2021;706;23;420;141;127;152;164;1;98;0;16;70;9;3;
;;M;2021;961;46;497;203;119;175;233;3;182;0;15;136;21;10;
;60 - 64 anos;H;2021;774;37;449;216;101;132;169;0;119;0;16;80;12;11;
;;M;2021;1030;74;534;273;101;160;227;0;195;0;26;147;16;6;
;65 - 69 anos;H;2021;706;49;452;302;51;99;118;0;87;0;11;66;7;3;
;;M;2021;938;83;595;407;54;134;126;0;134;0;23;100;4;7;
;70 - 74 anos;H;2021;620;47;448;322;50;76;50;0;75;0;7;60;4;4;
;;M;2021;827;103;608;474;31;103;53;0;63;0;17;41;4;1;
;75 ou mais anos;H;2021;1013;122;791;643;46;102;46;0;54;0;15;31;4;4;
;;M;2021;1503;435;962;816;54;92;43;0;63;0;23;37;2;1;
111515: Falagueira-Venda Nova;Total;H;2021;9404;1060;4511;1824;990;1697;2265;146;1422;27;97;966;295;37;
;;M;2021;11384;1441;5165;2643;921;1601;2538;108;2132;10;168;1442;481;31;
;Menos de 15 anos;H;2021;1288;798;490;195;254;41;0;0;0;0;0;0;0;0;
;;M;2021;1257;791;466;194;239;33;0;0;0;0;0;0;0;0;
;15 - 19 anos;H;2021;466;6;314;3;54;257;144;0;2;2;0;0;0;0;
;;M;2021;457;2;284;5;50;229;170;1;0;0;0;0;0;0;
;20 - 24 anos;H;2021;584;9;140;6;25;109;331;14;90;7;0;73;10;0;
;;M;2021;618;6;119;7;24;88;327;9;157;1;0;131;25;0;
;25 - 29 anos;H;2021;698;11;139;11;24;104;285;26;237;6;0;149;78;4;
;;M;2021;765;10;126;13;21;92;269;19;341;4;0;198;138;1;
;30 - 34 anos;H;2021;615;12;149;16;26;107;217;26;211;9;3;126;69;4;
;;M;2021;684;23;117;14;17;86;205;17;322;1;2;186;130;3;
;35 - 39 anos;H;2021;581;16;164;19;52;93;219;22;160;1;13;110;33;3;
;;M;2021;680;30;151;14;25;112;241;18;240;3;17;156;60;4;
;40 - 44 anos;H;2021;668;12;228;29;57;142;228;26;174;2;13;120;37;2;
;;M;2021;709;18;184;28;42;114;247;15;245;1;19;189;32;4;
;45 - 49 anos;H;2021;599;14;231;44;67;120;203;21;130;0;11;103;14;2;
;;M;2021;764;39;209;46;56;107;258;13;245;0;20;187;32;6;
;50 - 54 anos;H;2021;639;17;318;61;97;160;188;10;106;0;12;71;16;7;
;;M;2021;726;36;288;68;81;139;233;13;156;0;19;113;20;4;
;55 - 59 anos;H;2021;567;20;322;95;79;148;146;1;78;0;11;49;11;7;
;;M;2021;686;36;315;103;85;127;202;3;130;0;19;93;14;4;
;60 - 64 anos;H;2021;529;25;304;145;66;93;124;0;76;0;11;50;11;4;
